model_year,maker,model_name,city,distance_covered (km),fuel_type,pre_owner,price (₹)
2012,Maruti,Alto K10 VXI,Mumbai,29067,Petrol,2nd Owner,165199
2011,Hyundai,i20 SPORTZ 1.2 O,Mumbai,36791,Petrol,2nd Owner,326099
2010,Maruti,A Star VXI,Mumbai,35171,Petrol,1st Owner,195199
2011,Hyundai,Santro Xing GLS,Mumbai,19908,Petrol,1st Owner,195199
2012,Hyundai,Santro Xing GLS,Mumbai,43847,Petrol,3rd Owner,203299
2016,Hyundai,Eon SPORTZ,Mumbai,21303,Petrol,1st Owner,291299
2010,Maruti,Alto K10 VXI,Mumbai,50742,Petrol,2nd Owner,170399
2015,Maruti,Alto K10 VXI,Mumbai,12657,Petrol,1st Owner,282299
2013,Maruti,Wagon R 1.0 LXI,Mumbai,13688,Petrol,1st Owner,326199
2014,Hyundai,i10 MAGNA 1.1 IRDE2,Mumbai,13068,Petrol,1st Owner,369699
2009,Maruti,Swift Dzire VXI,Mumbai,42533,Petrol,2nd Owner,274899
2012,Honda,Brio 1.2 S MT I VTEC,Mumbai,19373,Petrol,1st Owner,317699
2015,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,23070,Petrol,2nd Owner,478799
2011,Toyota,Etios Liva G,Mumbai,36419,Petrol,2nd Owner,249699
2011,Maruti,Wagon R 1.0 VXI,Mumbai,18514,Petrol,1st Owner,269399
2013,Honda,Brio 1.2 S MT I VTEC,Mumbai,20609,Petrol,1st Owner,324699
2012,Maruti,Wagon R 1.0 LXI,Mumbai,20712,Petrol,2nd Owner,258399
2010,Maruti,Alto LXI,Mumbai,34995,Petrol,1st Owner,165999
2011,Toyota,Etios Liva G,Mumbai,21763,Petrol,1st Owner,267999
2012,Maruti,Wagon R 1.0 VXI,Mumbai,39652,Petrol,3rd Owner,288299
2012,Maruti,Zen Estilo LXI,Mumbai,39359,Petrol,2nd Owner,184699
2014,Maruti,Wagon R 1.0 VXI,Mumbai,6858,Petrol,1st Owner,358399
2011,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,43411,Petrol,2nd Owner,242999
2013,Maruti,Wagon R 1.0 VXI,Mumbai,17781,Petrol,1st Owner,302399
2012,Maruti,Wagon R 1.0 LXI CNG,Mumbai,41964,Petrol + CNG,2nd Owner,254699
2012,Maruti,Wagon R 1.0 VXI,Mumbai,25748,Petrol,2nd Owner,270599
2013,Ford,Figo 1.2 ZXI DURATEC,Mumbai,22618,Petrol,2nd Owner,243099
2014,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Mumbai,18534,Petrol,2nd Owner,339099
2012,Maruti,Swift ZXI,Mumbai,50581,Petrol,1st Owner,406299
2010,Volkswagen,Jetta TRENDLINE 1.6,Mumbai,54780,Petrol,1st Owner,326399
2014,Hyundai,i10 SPORTZ 1.1 IRDE2,Mumbai,24244,Petrol,2nd Owner,273299
2011,Toyota,Etios G,Mumbai,48910,Petrol,1st Owner,330599
2008,Hyundai,Santro Xing GLS,Mumbai,29111,Petrol,1st Owner,138499
2016,Maruti,Celerio ZXI AMT,Mumbai,26772,Petrol,1st Owner,409499
2015,Maruti,Alto 800 VXI,Mumbai,8322,Petrol,1st Owner,286399
2011,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,39413,Petrol,1st Owner,255199
2012,Maruti,Swift VXI,Mumbai,47260,Petrol,1st Owner,364799
2012,Maruti,Swift VDI,Mumbai,50525,Diesel,1st Owner,376799
2011,Maruti,Alto K10 VXI,Mumbai,47057,Petrol,1st Owner,199299
2012,Maruti,Wagon R 1.0 LXI,Mumbai,48921,Petrol,1st Owner,269699
2013,Maruti,Wagon R 1.0 LXI,Mumbai,24065,Petrol,1st Owner,312999
2015,Hyundai,Grand i10 SPORTS 1.2 VTVT,Mumbai,9307,Petrol,1st Owner,417699
2011,Maruti,Wagon R 1.0 VXI,Mumbai,36253,Petrol,1st Owner,268699
2010,Hyundai,i10 SPORTZ 1.2 KAPPA2,Mumbai,28925,Petrol,2nd Owner,226799
2012,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,50107,Petrol,3rd Owner,243699
2014,Honda,Amaze 1.2 SMT I VTEC,Mumbai,24048,Petrol,1st Owner,441199
2012,Honda,Brio 1.2 S MT I VTEC,Mumbai,42049,Petrol,1st Owner,319099
2011,Maruti,Ritz VXI BS IV,Mumbai,40420,Petrol,1st Owner,242199
2013,Maruti,Alto 800 LXI,Mumbai,26848,Petrol,1st Owner,239399
2012,Hyundai,i10 SPORTZ 1.2 AT KAPPA2,Mumbai,48978,Petrol,3rd Owner,275899
2015,Maruti,Wagon R 1.0 VXI,Mumbai,9357,Petrol,1st Owner,337699
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,45594,Petrol,2nd Owner,365599
2010,Hyundai,i20 ASTA 1.2,Mumbai,38409,Petrol,3rd Owner,239899
2014,Maruti,Alto K10 LXI,Mumbai,37168,Petrol,3rd Owner,204999
2014,Maruti,Celerio VXI,Mumbai,22957,Petrol,1st Owner,337899
2015,Maruti,Celerio VXI AMT,Mumbai,18492,Petrol,2nd Owner,360399
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,47239,Petrol,2nd Owner,388899
2012,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,39357,Petrol,1st Owner,282099
2010,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,41923,Petrol,2nd Owner,227299
2012,Maruti,Wagon R 1.0 VXI,Mumbai,24255,Petrol,1st Owner,275099
2016,Maruti,Alto K10 VXI AMT,Mumbai,25943,Petrol,1st Owner,312699
2020,KIA,SELTOS GTX + AT PETROL,Mumbai,2863,Petrol,1st Owner,1824299
2014,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,Mumbai,37891,Petrol,2nd Owner,361699
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,44929,Petrol,1st Owner,371499
2017,Maruti,Alto 800 LXI,Mumbai,25919,Petrol,2nd Owner,262599
2014,Toyota,Etios Liva G,Mumbai,52146,Petrol,2nd Owner,296099
2015,Maruti,Wagon R 1.0 LXI CNG,Mumbai,6799,Petrol + CNG,1st Owner,356199
2016,Mahindra,Kuv100 K6+ 6 STR,Mumbai,39793,Petrol,1st Owner,372099
2010,Maruti,Wagon R VXI,Mumbai,33318,Petrol,1st Owner,243899
2014,Hyundai,Grand i10 SPORTS 1.2 VTVT,Mumbai,42967,Petrol,2nd Owner,369099
2014,Hyundai,Grand i10 SPORTS 1.2 VTVT,Mumbai,35944,Petrol,1st Owner,380999
2012,Maruti,Swift VXI,Mumbai,63871,Petrol,1st Owner,340599
2014,Maruti,Celerio ZXI OPT,Mumbai,30338,Petrol,1st Owner,346599
2015,Hyundai,Grand i10 ASTA 1.2 (O) VTVT,Mumbai,27165,Petrol,1st Owner,402999
2012,Maruti,Wagon R 1.0 VXI,Mumbai,53558,Petrol,1st Owner,273399
2009,Hyundai,i20 MAGNA 1.2 VTVT,Mumbai,22897,Petrol,1st Owner,234699
2011,Hyundai,i20 MAGNA O 1.2,Mumbai,56869,Petrol,1st Owner,305499
2019,Maruti,Baleno DELTA 1.2 K12,Mumbai,19014,Petrol,1st Owner,601699
2012,Maruti,Swift ZXI,Mumbai,64239,Petrol,3rd Owner,341699
2014,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,19856,Petrol,1st Owner,467499
2016,Maruti,Baleno ALPHA 1.2 K12,Mumbai,30261,Petrol,2nd Owner,550799
2014,Volkswagen,Polo GT TSI 1.2 PETROL AT,Mumbai,34600,Petrol,1st Owner,512299
2013,Volkswagen,Polo COMFORTLINE 1.2L PETROL,Mumbai,21404,Petrol,1st Owner,308699
2010,Maruti,Wagon R 1.0 VXI,Mumbai,23333,Petrol,2nd Owner,232599
2013,Maruti,Swift Dzire LDI BS IV,Mumbai,53065,Diesel,1st Owner,390499
2016,Maruti,Alto K10 VXI AMT,Mumbai,10523,Petrol,1st Owner,327499
2012,Maruti,Wagon R 1.0 VXI,Mumbai,41270,Petrol,2nd Owner,250999
2015,Maruti,Wagon R 1.0 LXI,Mumbai,21236,Petrol,2nd Owner,296099
2013,Volkswagen,Polo HIGHLINE1.2L PETROL,Mumbai,21789,Petrol,1st Owner,383699
2012,Honda,Brio 1.2 S MT I VTEC,Mumbai,58375,Petrol,2nd Owner,281299
2016,Maruti,Alto K10 VXI,Mumbai,18998,Petrol,2nd Owner,243199
2014,Maruti,Wagon R 1.0 VXI,Mumbai,49738,Petrol,2nd Owner,293599
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,36720,Petrol,2nd Owner,348199
2013,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT AT,Mumbai,71880,Petrol,2nd Owner,429499
2014,Hyundai,i20 ASTA 1.2,Mumbai,23576,Petrol,1st Owner,424899
2019,Hyundai,NEW SANTRO 1.1 SPORTS AMT,Mumbai,4447,Petrol,1st Owner,487999
2015,Hyundai,Grand i10 SPORTS 1.2 VTVT,Mumbai,46809,Petrol,2nd Owner,356799
2014,Maruti,Celerio VXI AMT,Mumbai,11192,Petrol,2nd Owner,321499
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,53411,Petrol,2nd Owner,357299
2011,Toyota,Etios G,Mumbai,69385,Petrol,1st Owner,303699
2017,Datsun,Go Plus T,Mumbai,36625,Petrol,1st Owner,376499
2014,Maruti,Wagon R 1.0 VXI,Mumbai,56827,Petrol,1st Owner,324299
2012,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,45627,Petrol,1st Owner,358099
2010,Hyundai,i10 MAGNA 1.2,Mumbai,66817,Petrol,1st Owner,223999
2016,Hyundai,i20 Active 1.2 S,Mumbai,17868,Petrol,2nd Owner,515599
2013,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,53681,Petrol,1st Owner,388699
2010,Mercedes,Benz CLS Class 350 BLUE EFFICIENCY,Mumbai,42372,Petrol,3rd Owner,1544199
2011,Toyota,Etios V,Mumbai,64317,Petrol,1st Owner,291399
2010,Hyundai,i10 MAGNA 1.2,Mumbai,60949,Petrol,3rd Owner,179299
2011,Toyota,Etios V,Mumbai,65882,Petrol,1st Owner,317099
2011,Maruti,Wagon R 1.0 VXI,Mumbai,69729,Petrol,1st Owner,266699
2016,Hyundai,i20 Active 1.2 S,Mumbai,22069,Petrol,2nd Owner,498899
2011,Maruti,Wagon R 1.0 VXI,Mumbai,70662,Petrol,1st Owner,268099
2015,Volkswagen,Polo HIGHLINE1.2L PETROL,Mumbai,46554,Petrol,1st Owner,424299
2012,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,65116,Petrol,1st Owner,283999
2012,Hyundai,i20 SPORTZ 1.2 VTVT,Mumbai,51400,Petrol,3rd Owner,287899
2017,Hyundai,Elite i20 SPORTZ 1.2,Mumbai,10302,Petrol,1st Owner,597199
2011,Maruti,Wagon R 1.0 VXI,Mumbai,59336,Petrol,1st Owner,234299
2011,Maruti,Alto K10 VXI,Mumbai,59578,Petrol,1st Owner,200399
2011,Maruti,Swift LXI,Mumbai,68103,Petrol,1st Owner,302499
2016,Hyundai,Elite i20 SPORTZ 1.2,Mumbai,32000,Petrol,2nd Owner,514099
2018,Tata,TIGOR Revotron XT,Mumbai,16715,Petrol,1st Owner,586699
2010,Maruti,Swift VXI,Mumbai,70119,Petrol,2nd Owner,234499
2009,Hyundai,i20 ASTA 1.2,Mumbai,39140,Petrol,2nd Owner,214499
2018,Maruti,Alto 800 VXI,Mumbai,4343,Petrol,1st Owner,349699
2015,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,45897,Petrol,2nd Owner,427399
2016,Maruti,Baleno ALPHA 1.2 K12,Mumbai,23947,Petrol,1st Owner,560399
2012,Honda,City S MT PETROL,Mumbai,83929,Petrol,1st Owner,361099
2012,Hyundai,i20 SPORTZ 1.2 VTVT,Mumbai,62596,Petrol,1st Owner,330999
2014,Hyundai,Elite i20 SPORTZ (O) 1.2,Mumbai,49596,Petrol,1st Owner,479299
2017,Hyundai,Elite i20 ASTA 1.2,Mumbai,8945,Petrol,1st Owner,621399
2020,KIA,SELTOS GTX + AT PETROL,Mumbai,2787,Petrol,1st Owner,1788299
2016,Honda,Jazz 1.2 V AT,Mumbai,10430,Petrol,2nd Owner,565199
2016,Hyundai,Elite i20 SPORTZ 1.2,Mumbai,20767,Petrol,1st Owner,530999
2015,Volkswagen,Vento HIGHLINE TDI AT,Mumbai,38459,Diesel,1st Owner,582999
2014,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,56002,Petrol,1st Owner,457499
2016,Maruti,Baleno DELTA 1.2 K12,Mumbai,20909,Petrol,1st Owner,541399
2012,Maruti,Ertiga ZDI,Mumbai,51209,Diesel,1st Owner,569599
2013,Maruti,Swift Dzire VDI BS IV,Mumbai,92022,Diesel,1st Owner,465399
2016,Maruti,Baleno DELTA 1.2 K12,Mumbai,14866,Petrol,2nd Owner,530699
2015,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,57742,Petrol,2nd Owner,432199
2016,Maruti,Celerio ZXI,Mumbai,44635,Petrol,4th Owner,335099
2016,Honda,City VX MT PETROL,Mumbai,20135,Petrol,1st Owner,764299
2016,Renault,Kwid RXT Opt,Mumbai,45732,Petrol,1st Owner,292499
2013,Honda,Amaze 1.5 EXMT I DTEC,Mumbai,57650,Diesel,2nd Owner,390199
2015,Maruti,Baleno ALPHA DDIS 190,Mumbai,41346,Diesel,1st Owner,623799
2016,Maruti,Wagon R 1.0 VXI,Mumbai,46047,Petrol,2nd Owner,335599
2017,Maruti,Alto K10 VXI,Mumbai,38079,Petrol,2nd Owner,320799
2018,Datsun,Redi Go 1.0 S AT,Mumbai,29933,Petrol,1st Owner,291299
2018,Ford,Figo Aspire 1.2 Trend+ Petrol,Mumbai,8051,Petrol,1st Owner,593799
2016,Hyundai,Grand i10 SPORTS 1.2 VTVT,Mumbai,53525,Petrol,1st Owner,442999
2014,Volkswagen,Polo HIGHLINE1.2L PETROL,Mumbai,54813,Petrol,1st Owner,430599
2010,Hyundai,i20 MAGNA O 1.2,Mumbai,74226,Petrol,2nd Owner,227199
2015,Maruti,Celerio VXI AMT,Mumbai,53010,Petrol,1st Owner,353899
2017,Hyundai,Elite i20 SPORTZ 1.2,Mumbai,29594,Petrol,2nd Owner,533699
2010,Maruti,Wagon R 1.0 VXI,Mumbai,81341,Petrol,2nd Owner,236399
2019,Maruti,IGNIS ZETA 1.2 K12 AMT,Mumbai,12603,Petrol,1st Owner,561899
2018,Maruti,Baleno DELTA 1.2 K12 AMT,Mumbai,38598,Petrol,1st Owner,585299
2012,Maruti,Wagon R 1.0 LXI CNG,Mumbai,70447,Petrol + CNG,2nd Owner,287899
2014,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT,Mumbai,68191,Petrol,2nd Owner,437399
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,87083,Petrol,1st Owner,335799
2012,Hyundai,i20 MAGNA O 1.2,Mumbai,73246,Petrol,1st Owner,315799
2017,Honda,WR-V 1.2 i-VTEC VX MT,Mumbai,16683,Petrol,1st Owner,669499
2017,Mahindra,TUV300 T8,Mumbai,32394,Diesel,1st Owner,649899
2017,Honda,WR-V 1.2 i-VTEC VX MT,Mumbai,30982,Petrol,2nd Owner,659499
2014,Volkswagen,Polo GT TSI 1.2 PETROL AT,Mumbai,49253,Petrol,1st Owner,491699
2016,Maruti,Vitara Brezza VDI OPT,Mumbai,31636,Diesel,1st Owner,724699
2013,Toyota,Innova 2.5 GX 8 STR BS IV,Mumbai,59036,Diesel,1st Owner,761999
2014,Honda,Amaze 1.2 EXMT I VTEC,Mumbai,75156,Petrol,1st Owner,373199
2017,Maruti,Vitara Brezza VDI OPT,Mumbai,19724,Diesel,1st Owner,765099
2017,Maruti,IGNIS ZETA 1.2 K12 AMT,Mumbai,31152,Petrol,1st Owner,516499
2016,Maruti,Ertiga VXI OPTIONAL,Mumbai,16815,Petrol,2nd Owner,652499
2016,Maruti,Ertiga VDI SHVS,Mumbai,19170,Diesel,2nd Owner,776699
2010,Maruti,Wagon R 1.0 VXI,Mumbai,102987,Petrol,1st Owner,252199
2014,Skoda,Rapid AMBITION 1.6 MPI MT PLUS,Mumbai,55444,Petrol,1st Owner,427499
2017,Maruti,Dzire VDI,Mumbai,29736,Diesel,1st Owner,702099
2014,Maruti,Swift Dzire VXI AMT,Mumbai,57109,Petrol,2nd Owner,423399
2017,Hyundai,Grand i10 SPORTZ (O) 1.2 AT VTVT,Mumbai,85389,Petrol,1st Owner,449199
2014,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT OPT,Mumbai,61291,Petrol,1st Owner,345799
2017,Hyundai,Creta 1.6 E + VTVT,Mumbai,26547,Petrol,2nd Owner,799799
2018,Honda,WR-V 1.2 i-VTEC VX MT,Mumbai,17665,Petrol,1st Owner,741799
2019,Hyundai,VENUE 1.0L Turbo GDI SX MT,Mumbai,5237,Petrol,1st Owner,984599
2012,Maruti,Alto 800 LXI,Mumbai,70050,Petrol,1st Owner,221499
2017,Hyundai,Elite i20 ASTA 1.2,Mumbai,35045,Petrol,1st Owner,567699
2016,Maruti,Vitara Brezza VDI,Mumbai,43994,Diesel,1st Owner,674499
2015,Mahindra,XUV500 W6 4X2,Mumbai,42995,Diesel,1st Owner,764799
2014,Mahindra,XUV500 W8 FWD,Mumbai,97537,Diesel,2nd Owner,665999
2012,Hyundai,i10 SPORTZ 1.2 AT KAPPA2,Mumbai,69848,Petrol,1st Owner,300699
2011,Honda,City V MT PETROL,Mumbai,131933,Petrol,3rd Owner,318999
2019,KIA,SELTOS GTX+ 1.4 MT,Mumbai,5348,Petrol,1st Owner,1670599
2018,Maruti,Alto 800 LXI,Mumbai,47642,Petrol,1st Owner,302999
2016,Maruti,Baleno ZETA 1.2 K12 CVT,Mumbai,41876,Petrol,1st Owner,637999
2013,Volkswagen,Polo HIGHLINE1.2L DIESEL,Mumbai,63934,Diesel,1st Owner,368099
2009,Toyota,Innova 2.5 G4 8 STR,Mumbai,96460,Diesel,1st Owner,434399
2017,Honda,WR-V 1.2 i-VTEC VX MT,Mumbai,37386,Petrol,1st Owner,692199
2012,Nissan,Sunny XL DIESEL,Mumbai,80292,Diesel,2nd Owner,263499
2015,Hyundai,Verna FLUIDIC 1.4 VTVT,Mumbai,63139,Petrol,2nd Owner,433299
2009,Toyota,Corolla Altis 1.8 G,Mumbai,88237,Petrol,2nd Owner,294799
2013,Nissan,Terrano XL PLUS 85 PS DEISEL,Mumbai,79096,Diesel,2nd Owner,404599
2016,Maruti,Ertiga ZDI PLUS SHVS,Mumbai,29442,Diesel,2nd Owner,754399
2016,Maruti,Ertiga VDI SHVS,Mumbai,58796,Diesel,1st Owner,727399
2017,Honda,WR-V 1.2 i-VTEC VX MT,Mumbai,23780,Petrol,1st Owner,698199
2014,Maruti,Ertiga ZDI,Mumbai,69092,Diesel,1st Owner,639199
2012,Maruti,Swift ZXI,Mumbai,74213,Petrol,2nd Owner,350999
2019,KIA,SELTOS HTX+ MT 1.5 DIESEL,Mumbai,28850,Diesel,1st Owner,1523399
2011,Hyundai,i20 ASTA 1.4 CRDI,Mumbai,83831,Diesel,2nd Owner,324399
2012,Honda,Brio 1.2 S MT I VTEC,Mumbai,77826,Petrol,3rd Owner,292399
2018,Hyundai,Verna 1.6 SX VTVT AT (O),Mumbai,13197,Petrol,1st Owner,1121399
2017,Maruti,Vitara Brezza VDI,Mumbai,47447,Diesel,1st Owner,692899
2019,Mahindra,XUV500 W3,Mumbai,8886,Diesel,1st Owner,1100699
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,73961,Petrol,1st Owner,362499
2012,Maruti,Wagon R 1.0 VXI,Mumbai,98462,Petrol,1st Owner,218499
2012,Maruti,Swift ZDI,Mumbai,123914,Diesel,1st Owner,367499
2015,Mahindra,XUV500 W8 FWD,Mumbai,57504,Diesel,1st Owner,783499
2009,Maruti,Ritz VDI,Mumbai,134192,Diesel,2nd Owner,215099
2009,Maruti,Ritz VXI,Mumbai,90961,Petrol,1st Owner,213099
2011,Hyundai,i20 ASTA 1.2,Mumbai,85712,Petrol,1st Owner,277499
2011,Maruti,Alto K10 VXI,Mumbai,82414,Petrol,1st Owner,205099
2012,Honda,Brio 1.2 S MT I VTEC,Mumbai,87755,Petrol,1st Owner,258899
2018,Maruti,Ertiga VDI SHVS LIMITED EDITION,Mumbai,31532,Diesel,1st Owner,889799
2012,Maruti,Swift ZXI,Mumbai,82396,Petrol,1st Owner,389699
2009,Toyota,Corolla Altis 1.8 G,Mumbai,92819,Petrol,3rd Owner,230599
2016,Maruti,Baleno ALPHA DDIS 190,Mumbai,81293,Diesel,1st Owner,623799
2011,Mercedes,Benz C Class 200 CGI AVANTGARDE,Mumbai,53018,Petrol,2nd Owner,753399
2017,Toyota,Fortuner 2.8 4x2 MT,Mumbai,45112,Diesel,1st Owner,2417399
2019,Maruti,Vitara Brezza ZDI,Mumbai,3269,Diesel,1st Owner,1061499
2019,Tata,NEXON XZA + 1.2 PETROL A/T,Mumbai,9329,Petrol,1st Owner,873099
2019,Hyundai,Verna 1.4 VTVT EX,Mumbai,22647,Petrol,1st Owner,797399
2018,Hyundai,Verna 1.6 SX VTVT AT (O),Mumbai,19407,Petrol,1st Owner,1136899
2016,Maruti,Swift Dzire ZXI 1.2 BS IV,Mumbai,85975,Petrol,1st Owner,443799
2018,Tata,Tiago XT 1.05 REVOTORQ,Mumbai,44330,Diesel,1st Owner,457199
2011,Mercedes,Benz C Class 200 CGI AVANTGARDE,Mumbai,66145,Petrol,2nd Owner,717099
2018,Hyundai,Verna 1.6 SX (O) CRDI MT,Mumbai,16063,Diesel,1st Owner,949999
2017,Honda,Jazz 1.2 V AT,Mumbai,60860,Petrol,1st Owner,626399
2013,Volkswagen,Vento HIGHLINE DIESEL,Mumbai,84623,Diesel,1st Owner,439999
2014,Mercedes,Benz C Class C200 CGI GRAND EDITION,Mumbai,23856,Petrol,2nd Owner,1210499
2017,Jeep,Compass 2.0 LIMITED,Mumbai,25491,Diesel,2nd Owner,1348799
2010,Honda,City S MT PETROL,Mumbai,110946,Petrol,1st Owner,304399
2018,Maruti,Ciaz ZETA 1.4 VVT AMT,Mumbai,30699,Petrol,1st Owner,822399
2017,Maruti,Baleno RS 1.0 PETROL,Mumbai,76112,Petrol,1st Owner,528299
2011,Toyota,Etios G,Mumbai,107845,Petrol,1st Owner,274299
2010,Toyota,Corolla Altis 1.8 G,Mumbai,98946,Petrol,1st Owner,309199
2018,Maruti,Vitara Brezza VDI OPT,Mumbai,64083,Diesel,1st Owner,758999
2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Mumbai,28932,Petrol,1st Owner,1022599
2013,Volkswagen,Vento HIGHLINE DIESEL,Mumbai,81479,Diesel,2nd Owner,408199
2012,Maruti,Swift Dzire VDI BS IV,Mumbai,92029,Diesel,2nd Owner,393999
2017,Mahindra,Scorpio S11,Mumbai,23836,Diesel,1st Owner,1152399
2019,Maruti,Vitara Brezza ZDI+ DUAL TONE AMT,Mumbai,8641,Diesel,1st Owner,1027199
2013,Maruti,Wagon R 1.0 LXI,Mumbai,89130,Petrol + CNG,1st Owner,273499
2015,Volkswagen,Polo GT TSI 1.2 PETROL AT,Mumbai,78669,Petrol,1st Owner,503799
2017,Maruti,Ciaz ZXI AMT,Mumbai,83043,Petrol,1st Owner,614599
2018,Jeep,Compass 2.0 LIMITED,Mumbai,34088,Diesel,2nd Owner,1381599
2011,Hyundai,i20 ASTA 1.2,Mumbai,108240,Petrol + CNG,3rd Owner,284499
2011,Maruti,Swift VDI,Mumbai,100554,Diesel,1st Owner,323799
2014,Renault,Duster 85 PS RXE,Mumbai,86253,Diesel,2nd Owner,497999
2013,Maruti,Swift VXI,Mumbai,78705,Petrol,1st Owner,352499
2011,Maruti,Ritz ZXI,Mumbai,97812,Petrol,1st Owner,255199
2011,Maruti,Swift Dzire VDI,Mumbai,105683,Diesel,1st Owner,332399
2010,Maruti,Wagon R 1.0 VXI,Mumbai,93112,Petrol,1st Owner,212899
2013,Maruti,Ertiga ZDI,Mumbai,160852,Diesel,2nd Owner,512299
2013,Maruti,Swift Dzire VDI BS IV,Mumbai,78840,Diesel,1st Owner,459699
2011,Volkswagen,Polo COMFORTLINE 1.2L PETROL,Mumbai,103624,Petrol,3rd Owner,251799
2016,Skoda,Superb 1.8 TSI STYLE AT,Mumbai,37870,Petrol,1st Owner,1397599
2011,Hyundai,i20 ASTA 1.4 CRDI,Mumbai,118057,Diesel,2nd Owner,281799
2015,Mahindra,XUV500 W8 FWD,Mumbai,93753,Diesel,1st Owner,733799
2018,Maruti,Ertiga VDI SHVS,Mumbai,52554,Diesel,1st Owner,879699
2011,Hyundai,i20 ASTA 1.4 CRDI,Mumbai,105125,Diesel,2nd Owner,273399
2014,Honda,City SV MT DIESEL,Mumbai,90138,Diesel,1st Owner,519199
2012,Maruti,Swift VDI,Mumbai,91857,Diesel,1st Owner,362599
2018,Volkswagen,Polo GT TSI,Mumbai,44090,Petrol,1st Owner,721999
2008,Honda,Accord 2.4 MT,Mumbai,108501,Petrol,1st Owner,284999
2011,Hyundai,i20 MAGNA O 1.2,Mumbai,119260,Petrol,2nd Owner,252999
2011,Volkswagen,Polo HIGHLINE1.2L PETROL,Mumbai,106319,Petrol,2nd Owner,351499
2015,Hyundai,Grand i10 ASTA 1.2 AT VTVT,Mumbai,114840,Petrol,1st Owner,420499
2019,Maruti,Vitara Brezza ZDI + AMT,Mumbai,39910,Diesel,2nd Owner,873599
2010,Maruti,Wagon R 1.0 VXI,Mumbai,155954,Petrol,1st Owner,210999
2015,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,95653,Petrol,1st Owner,462799
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,91004,Petrol,1st Owner,363999
2009,Hyundai,i20 MAGNA 1.2 VTVT,Mumbai,144991,Petrol,1st Owner,191799
2014,Mercedes,Benz C Class C220 CDI GRAND EDITION,Mumbai,83460,Diesel,1st Owner,1246899
2009,Maruti,Swift VDI,Mumbai,163408,Diesel,1st Owner,254299
2019,MG,HECTOR SHARP 2.0 DIESEL,Mumbai,37965,Diesel,1st Owner,1653299
2013,Ford,Ecosport 1.5TITANIUM TDCI,Mumbai,106379,Diesel,1st Owner,496299
2009,Hyundai,i20 ASTA 1.2,Mumbai,120578,Petrol,2nd Owner,230799
2010,Toyota,Innova 2.5 V 8 STR,Mumbai,150832,Diesel,1st Owner,554599
2010,Toyota,Corolla Altis D 4D GL,Mumbai,107778,Diesel,1st Owner,371599
2018,Maruti,Ertiga VDI SHVS,Mumbai,82508,Diesel,1st Owner,837899
2015,Toyota,Innova 2.5 VX 8 STR BS IV,Mumbai,118591,Diesel,1st Owner,899999
2017,Maruti,S Cross DELTA 1.3,Mumbai,103539,Diesel,1st Owner,706599
2011,Ford,Figo 1.4 TITANIUM DURATORQ,Mumbai,157455,Diesel,1st Owner,243299
2011,Maruti,Ritz LDI,Mumbai,143702,Diesel,2nd Owner,211199
2012,Toyota,Innova 2.5 GX 8 STR BS IV,Mumbai,122351,Diesel,1st Owner,708699
2016,Skoda,Superb 2.0 TDI CR LK AT,Mumbai,45828,Diesel,1st Owner,1861699
2016,Toyota,Corolla Altis VL AT,Mumbai,90509,Petrol,1st Owner,950799
2016,Hyundai,Grand i10 SPORTZ 1.1 CRDI,Mumbai,118349,Diesel,1st Owner,398099
2012,Skoda,Yeti ACTIVE 2.0 TDI 4X2,Mumbai,127844,Diesel,1st Owner,401599
2012,Maruti,Swift Dzire VDI BS IV,Mumbai,133678,Diesel,1st Owner,415599
2011,Maruti,Swift VDI,Mumbai,156138,Diesel,1st Owner,322799
